countyFIPS,County Name,State,StateFIPS,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20,9/16/20,9/17/20,9/18/20,9/19/20,9/20/20,9/21/20,9/22/20,9/23/20,9/24/20,9/25/20,9/26/20,9/27/20,9/28/20,9/29/20,9/30/20,10/1/20,10/2/20,10/3/20,10/4/20,10/5/20,10/6/20,10/7/20,10/8/20,10/9/20,10/10/20,10/11/20,10/12/20,10/13/20,10/14/20,10/15/20,10/16/20,10/17/20,10/18/20,10/19/20,10/20/20,10/21/20,10/22/20,10/23/20,10/24/20,10/25/20,10/26/20,10/27/20,10/28/20,10/29/20,10/30/20,10/31/20,11/1/20,11/2/20,11/3/20,11/4/20,11/5/20,11/6/20,11/7/20,11/8/20,11/9/20,11/10/20,11/11/20,11/12/20,11/13/20,11/14/20,11/15/20,11/16/20,11/17/20,11/18/20,11/19/20,11/20/20,11/21/20,11/22/20,11/23/20,11/24/20,11/25/20,11/26/20,11/27/20,11/28/20,11/29/20,11/30/20,12/1/20,12/2/20,12/3/20,12/4/20,12/5/20,12/6/20,12/7/20,12/8/20,12/9/20,12/10/20,12/11/20,12/12/20,12/13/20,12/14/20,12/15/20,12/16/20,12/17/20,12/18/20,12/19/20,12/20/20,12/21/20,12/22/20,12/23/20,12/24/20,12/25/20,12/26/20,12/27/20,12/28/20,12/29/20,12/30/20,12/31/20
0,Statewide Unallocated,NJ,34,2,4,3,3,21,20,17,1,22,57,57,0,4,5,5,13,14,5,4,4,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34001,Atlantic,NJ,34,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,4,4,6,7,8,8,11,13,13,17,19,19,19,22,22,22,29,29,29,30,35,37,41,45,48,49,51,51,54,62,68,72,72,77,79,88,99,107,110,112,112,121,126,128,130,143,144,144,149,155,156,158,159,159,159,162,163,164,167,167,167,167,167,168,171,172,179,180,180,180,184,187,188,188,188,188,190,192,192,194,211,211,214,216,216,219,220,220,221,221,222,224,226,229,232,232,232,233,234,236,236,236,237,237,238,240,240,240,240,240,240,240,247,250,250,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,252,252,252,252,252,252,253,253,253,253,253,253,253,254,255,255,255,255,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,257,257,260,260,261,261,261,261,261,263,264,264,264,264,264,264,264,264,264,264,264,265,266,266,266,266,266,266,266,269,269,269,270,270,270,270,271,270,271,273,273,273,274,275,276,276,278,278,278,280,281,282,284,290,290,290,296,301,302,305,305,306,307,312,315,316,316,316,316,317,321,328,329,330,331,333,335,339,345,350,355,357,360,359,364,366,368
34003,Bergen,NJ,34,6,7,9,14,14,17,24,32,32,32,45,75,120,132,179,189,200,263,314,345,390,435,453,453,550,608,668,714,741,767,787,835,835,835,934,954,955,960,1002,1057,1136,1187,1202,1210,1215,1261,1289,1319,1329,1348,1355,1358,1388,1409,1423,1443,1450,1455,1460,1474,1500,1508,1515,1521,1525,1525,1528,1547,1553,1567,1573,1579,1580,1584,1595,1603,1611,1612,1618,1621,1628,1635,1646,1649,1662,1662,1664,1673,1681,1684,1691,1693,1696,1701,1706,1714,1716,1718,1983,1983,1985,1989,1996,1994,2000,2003,2004,2006,2009,2010,2020,2023,2028,2028,2029,2029,2029,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2031,2032,2032,2032,2033,2035,2035,2036,2036,2037,2038,2038,2038,2039,2040,2041,2041,2042,2042,2042,2043,2043,2044,2044,2044,2044,2044,2044,2044,2044,2045,2045,2045,2045,2045,2045,2045,2045,2046,2046,2048,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2051,2053,2055,2056,2057,2057,2058,2058,2058,2061,2062,2062,2063,2063,2063,2064,2067,2068,2070,2071,2071,2071,2072,2075,2078,2082,2083,2083,2084,2087,2091,2096,2098,2101,2101,2102,2108,2114,2119,2121,2121,2122,2124,2139,2145,2153,2159,2165,2165,2165,2172,2180,2187,2193,2196,2202,2205,2215,2223,2235,2237,2244,2246,2248,2257,2267,2275,2276,2277,2280,2282,2300,2312,2318
34005,Burlington,NJ,34,0,0,0,0,0,2,2,3,3,3,3,5,8,9,10,11,11,13,17,21,22,22,23,23,28,45,52,54,57,58,61,66,66,66,81,88,94,98,106,117,130,144,146,149,149,164,177,185,190,194,198,200,208,214,228,238,239,239,245,247,249,249,261,266,270,271,273,275,277,286,290,291,294,297,302,307,311,314,327,327,334,344,349,350,356,363,364,364,364,367,370,370,371,372,372,373,376,376,416,419,421,424,428,429,431,433,433,434,438,441,446,447,447,447,449,451,454,456,456,458,459,462,466,467,468,469,469,469,469,469,469,469,469,470,470,470,470,470,471,471,472,473,473,473,473,474,477,477,477,477,478,480,480,480,481,481,481,481,481,481,481,481,481,481,481,481,482,482,482,483,483,483,485,485,486,487,488,489,490,490,490,490,490,490,491,493,494,495,496,496,496,496,497,499,502,502,502,502,502,502,502,503,503,503,503,503,503,503,504,505,505,506,507,507,508,508,509,509,511,513,513,513,513,514,516,516,517,519,519,519,520,520,520,521,521,522,523,525,525,526,526,528,529,530,530,531,532,533,536,540,542,543,543,543,543,545,547,548,549,551,551,552,554,558,562,563,566,567,567,572,575,584,586,587,590,594,598,603,604,606,606,606,606,610,620,624
34007,Camden,NJ,34,0,0,0,1,1,1,1,1,1,3,3,3,6,7,8,8,8,12,22,23,29,29,32,32,41,49,60,64,73,74,81,89,89,89,106,118,121,122,124,136,147,155,161,163,163,180,189,193,199,217,225,227,236,246,256,262,268,272,275,279,286,290,299,303,307,307,307,313,318,327,334,338,338,339,346,352,357,364,369,374,381,394,399,399,405,407,415,415,415,415,415,416,416,417,421,425,427,431,480,483,485,489,493,503,513,518,521,525,534,538,540,541,546,546,551,551,556,558,557,557,559,560,560,563,564,566,566,566,566,566,571,571,573,573,575,575,575,577,578,578,578,579,579,579,579,580,581,582,582,582,582,582,582,584,584,584,584,585,585,588,590,590,590,590,590,592,592,593,593,593,594,594,595,595,596,596,597,598,600,603,603,603,605,605,605,605,606,606,608,609,609,610,611,611,611,611,612,612,612,612,612,615,615,615,615,615,615,616,616,617,617,618,618,618,620,623,624,627,627,629,632,633,634,635,635,636,637,637,638,639,639,639,640,640,642,644,644,645,647,649,649,650,654,658,660,664,664,664,671,673,673,673,673,675,675,684,687,688,693,697,698,699,704,715,720,728,733,733,736,743,746,750,755,756,757,759,763,770,774,780,782,782,785,794,812,818
34009,Cape May,NJ,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,5,5,9,9,10,10,10,14,14,14,15,16,16,16,16,18,18,18,20,21,22,22,23,24,24,26,28,31,31,32,32,32,35,37,39,40,41,41,41,42,42,44,46,48,48,48,48,48,48,48,49,49,49,50,50,50,50,50,51,51,54,54,55,57,58,59,61,61,61,62,62,62,62,62,63,63,63,64,68,68,68,73,73,73,74,74,74,74,75,76,76,76,77,77,77,79,80,80,82,82,82,82,82,85,86,86,86,86,86,86,86,86,86,87,87,87,87,87,87,87,87,87,87,87,88,88,89,89,89,89,90,90,90,91,91,91,91,91,92,92,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,95,95,95,95,95,95,95,95,95,95,96,96,96,96,97,97,97,97,97,97,97,97,98,98,98,98,98,98,98,98,99,99,99,99,99,100,100,100,100,100,100,100,100,100,100,100,100,100,101,101,101,102,102,102,102,102,102,102,102,102,105,105,105,105,105,105,105,106,106,107,107,109,109,110,111,111,112,114,115,115,116,117,117,118,122,122,123,123,123,123,123,124,125,125,126,127,127,128,130,130,132,132,132,132,133,134,135
34011,Cumberland,NJ,34,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,6,6,8,10,10,12,13,16,17,19,23,25,25,28,34,36,40,43,43,48,48,49,51,53,56,57,60,61,62,63,63,63,65,65,69,72,73,75,78,79,79,86,90,90,90,95,100,102,104,107,107,108,114,118,118,119,123,124,124,126,126,126,128,141,141,141,143,145,146,147,147,149,149,149,149,149,149,149,149,150,152,153,153,153,153,154,154,154,154,154,154,154,154,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,156,156,156,156,156,156,156,156,157,157,157,157,157,157,157,157,157,157,157,157,157,157,158,159,159,159,159,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,161,161,161,161,161,161,161,161,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,163,163,163,164,164,166,170,170,170,170,170,170,170,170,170,170,171,171,173,173,174,174,174,178,182,182,182,183,183,183,184,186,188,190,192,193,193,194,197,199,201,201,202,202,205,207,208,212,212,214,216,221,223,225
34013,Essex,NJ,34,3,4,4,7,7,11,14,20,20,20,31,69,99,118,155,172,186,232,276,312,352,412,428,428,535,590,642,684,732,740,751,849,849,849,975,1019,1023,1028,1090,1139,1186,1240,1265,1282,1292,1319,1349,1381,1398,1414,1423,1426,1444,1471,1496,1510,1522,1528,1546,1565,1569,1576,1585,1588,1595,1595,1605,1624,1628,1647,1657,1664,1667,1672,1687,1694,1701,1701,1707,1710,1722,1723,1723,1728,1741,1745,1751,1751,1755,1758,1758,1759,1760,1761,1764,1764,1774,1778,2018,2021,2021,2021,2024,2030,2034,2038,2040,2041,2042,2046,2060,2061,2070,2070,2077,2078,2085,2089,2089,2089,2089,2089,2089,2089,2094,2098,2100,2100,2100,2100,2100,2100,2102,2102,2102,2104,2104,2105,2107,2107,2110,2110,2110,2110,2110,2110,2110,2110,2110,2110,2110,2110,2110,2110,2110,2110,2110,2110,2110,2110,2111,2112,2113,2115,2116,2117,2119,2119,2120,2120,2120,2121,2121,2121,2122,2122,2122,2122,2122,2124,2125,2125,2125,2125,2125,2126,2127,2128,2128,2128,2128,2128,2128,2128,2128,2128,2128,2128,2128,2128,2128,2128,2128,2128,2129,2129,2131,2134,2134,2134,2134,2134,2134,2136,2137,2139,2139,2140,2140,2141,2142,2142,2142,2144,2144,2144,2145,2148,2149,2152,2152,2153,2153,2154,2159,2161,2162,2168,2172,2172,2174,2185,2187,2191,2195,2198,2202,2202,2210,2222,2224,2226,2227,2228,2230,2238,2240,2250,2254,2259,2259,2261,2271,2279,2288,2291,2294,2295,2298,2302,2316,2320,2320,2331,2331,2331,2339,2353,2361,2363,2364,2365,2367,2372,2385,2391
34015,Gloucester,NJ,34,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,5,7,8,8,9,9,9,11,14,18,22,23,24,25,27,27,27,30,30,31,33,38,40,46,48,50,51,51,61,63,66,72,79,81,83,90,92,98,106,113,116,117,125,127,129,132,134,134,138,138,140,143,147,147,147,148,148,149,150,151,152,152,152,153,153,155,156,156,157,163,164,166,167,169,171,171,171,172,172,173,173,180,181,182,182,182,182,187,187,188,188,190,192,193,193,193,193,193,193,195,196,197,197,197,198,198,199,200,202,203,203,203,203,205,206,207,209,209,209,209,209,209,209,212,212,212,213,214,214,215,215,215,215,217,218,218,219,219,219,219,219,219,219,219,219,219,219,219,219,219,222,223,223,223,223,223,223,224,224,224,224,224,224,224,224,224,224,224,226,226,227,227,227,227,227,228,228,229,229,230,230,230,230,230,233,233,233,233,233,233,233,234,234,234,235,235,236,238,240,242,242,242,242,243,246,248,248,249,249,249,249,249,250,251,251,251,251,252,252,252,253,255,255,256,257,260,263,263,265,266,267,270,275,276,276,278,281,281,285,291,295,298,302,303,304,307,312,316,317,322,322,322,328,333,338,345,346,347,347,349,352,358,359,359,359,360,367,383,386
34017,Hudson,NJ,34,1,1,1,3,3,3,4,7,7,7,12,29,44,59,78,87,92,103,122,132,163,183,226,226,277,312,365,420,434,452,492,525,525,525,640,655,661,673,722,758,798,819,834,845,845,870,903,923,940,954,969,971,981,1007,1032,1042,1045,1057,1068,1082,1106,1121,1134,1137,1137,1137,1143,1158,1161,1168,1173,1182,1182,1188,1192,1199,1205,1210,1218,1226,1235,1242,1242,1246,1253,1254,1255,1255,1256,1256,1261,1261,1262,1266,1268,1272,1273,1274,1448,1449,1449,1451,1457,1454,1454,1455,1455,1456,1460,1462,1477,1481,1482,1482,1484,1487,1491,1491,1491,1491,1491,1491,1491,1491,1494,1495,1498,1499,1499,1499,1499,1499,1500,1501,1501,1502,1502,1502,1502,1502,1504,1504,1505,1505,1505,1506,1506,1506,1506,1506,1506,1506,1506,1506,1506,1506,1506,1506,1506,1506,1506,1506,1507,1508,1508,1508,1508,1509,1511,1511,1512,1512,1512,1512,1512,1512,1512,1512,1512,1513,1513,1513,1513,1513,1513,1513,1513,1514,1514,1515,1515,1516,1515,1517,1518,1518,1518,1518,1518,1518,1518,1518,1518,1519,1519,1519,1519,1520,1520,1520,1521,1523,1523,1524,1524,1525,1525,1526,1527,1527,1528,1528,1529,1530,1530,1530,1531,1534,1536,1536,1537,1538,1538,1538,1539,1540,1540,1541,1542,1544,1546,1549,1550,1552,1554,1557,1557,1559,1560,1568,1572,1572,1572,1572,1573,1582,1587,1596,1600,1605,1607,1610,1617,1617,1622,1623,1629,1631,1633,1642,1649,1657,1657,1660,1660,1660,1664,1668,1673,1677,1678,1679,1681,1687,1695,1699
